fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
29.L1.1580.FP15802,455.0,0.0,0,16,127,175.0,,,0,152.0,0.0%,0.0%,0,0
29.L1.1580.FP15803,7.0,0.0,0,,37,26.0,,,0,2.0,,,0,0
29.L1.1580.FP15804,0.0,0.0,0,,0,32.0,,,0,0.0,,,0,0
29.L1.1580.FP15805,64.0,0.0,0,,19,21.0,,,0,21.0,,,0,0
29.L1.1580.FP15806,0.0,105.0,0,32,105,35.0,,,32,35.0,100.0%,90.6%,37,28
29.L1.1580.FP15807,0.0,95.0,35,,45,48.0,71.4%,61.9%,46,43.0,,,52,47
29.L1.1580.FP15808,15.0,0.0,0,,4,5.0,,,0,5.0,,,0,0
29.L1.3030.F305,245.0,121.0,0,103,134,122.0,,,85,122.0,82.5%,81.6%,67,59
29.L1.3030.F308,231.0,92.0,203,157,147,160.0,72.4%,78.8%,175,175.0,88.5%,88.3%,167,177
29.L1.3030.F315,0.0,48.0,0,,42,46.0,,,14,16.0,,,17,13
29.L1.3030.FK301,546.0,47.0,34,,336,445.0,0.0%,0.0%,0,209.0,,,51,170
29.L1.3030.FK302,283.0,61.0,179,,72,210.0,40.2%,82.5%,0,174.0,,,11,36
29.L1.3030.FK303,0.0,0.0,0,22,0,19.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.3030.FK304,100.0,65.0,141,23,65,55.0,46.1%,39.0%,110,102.0,0.0%,0.0%,110,116
29.L1.3030.FK305,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3030.FU81102,2715.0,5670.0,9518,13469,5103,2795.0,53.6%,29.4%,13469,5968.0,100.0%,44.3%,11504,11895
29.L1.3030.FU81106,13774.0,2039.0,6119,7410,5356,5271.0,87.5%,86.1%,6426,7311.0,86.7%,98.7%,5456,5880
29.L1.3030.FU81107,3552.0,683.0,2121,4516,1475,1412.0,69.5%,66.6%,4516,2119.0,100.0%,46.9%,3414,3615
29.L1.3030.FU81108,949.0,814.0,3319,1773,761,588.0,22.9%,17.7%,1773,1694.0,100.0%,95.5%,2141,2148
29.L1.3060.FC3604,54.0,520.0,370,734,421,505.0,86.2%,63.6%,352,315.0,48.0%,42.9%,391,375
29.L1.3060.FC3604D,14.0,0.0,0,89,31,49.0,,,0,5.0,0.0%,5.2%,0,0
29.L1.3060.FC3605,228.0,693.0,355,982,451,587.0,73.0%,34.6%,431,425.0,43.9%,43.3%,461,431
29.L1.3060.FC3606,0.0,24.0,0,288,12,8.0,,,7,8.0,2.4%,2.8%,8,6
29.L1.3060.FC3606D,0.0,99.0,0,,54,33.0,,,30,33.0,,,35,26
29.L1.3060.FC3606V,0.0,136.0,0,,51,45.0,,,41,45.0,,,48,36
29.L1.3060.FC3610,0.0,72.0,32,,72,24.0,0.0%,75.0%,38,35.0,,,43,39
29.L1.3060.FC3610D,0.0,24.0,0,,14,8.0,,,7,8.0,,,8,6
29.L1.3060.FC3610V,0.0,24.0,0,,12,8.0,,,7,8.0,,,8,6
29.L1.3060.FC3618,120.0,2079.0,1021,376,1120,807.0,90.3%,79.1%,1158,1073.0,0.0%,0.0%,1301,1202
29.L1.3060.FC3618D,32.0,43.0,72,10,38,29.0,52.8%,39.8%,55,49.0,0.0%,0.0%,58,60
29.L1.3060.FC3619,216.0,509.0,651,289,288,341.0,44.2%,52.4%,521,459.0,19.7%,41.3%,558,566
29.L1.3060.FC3622,2802.0,2870.0,4121,1420,2952,3018.0,71.6%,73.2%,3482,3264.0,0.0%,0.0%,3551,3644
29.L1.3060.FC3622D,126.0,55.0,277,75,79,84.0,28.5%,30.2%,180,153.0,0.0%,0.0%,184,201
29.L1.3060.FC3622V,414.0,366.0,211,72,390,467.0,15.2%,0.0%,72,330.0,100.0%,0.0%,47,216
29.L1.3060.FC3623,3270.0,1675.0,2844,3568,2728,3164.0,95.9%,88.7%,2578,2596.0,72.3%,72.8%,2477,2581
29.L1.3060.FC3623D,0.0,136.0,30,,68,139.0,0.0%,0.0%,56,55.0,,,64,55
29.L1.3060.FC3623V,157.0,296.0,441,152,275,236.0,62.4%,53.4%,341,298.0,0.0%,3.9%,362,372
29.L1.3060.FC3624,113.0,0.0,120,17,178,279.0,51.7%,0.0%,17,78.0,100.0%,0.0%,8,14
29.L1.3060.FC3624D,2.0,0.0,0,,17,1.0,,,0,1.0,,,0,0
29.L1.3060.FC3624V,25.0,0.0,0,,128,51.0,,,0,8.0,,,0,0
29.L1.3060.FC3625,0.0,0.0,0,,0,419.0,,,0,0.0,,,0,0
29.L1.3060.FC3625D,0.0,0.0,26,1,0,0.0,0.0%,0.0%,13,9.0,0.0%,0.0%,14,16
29.L1.3060.FC3625V,0.0,0.0,0,,0,55.0,,,0,0.0,,,0,0
29.L1.3060.FC3626,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FC3626V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FC3636,2514.0,3173.0,4578,3850,3715,4186.0,81.1%,91.4%,3744,3422.0,97.2%,88.9%,3880,3979
29.L1.3060.FC3636D,145.0,190.0,611,213,432,266.0,70.7%,43.6%,392,315.0,16.0%,52.0%,417,448
29.L1.3060.FC3637,2595.0,2602.0,3996,5500,3200,6890.0,80.1%,27.6%,3298,3064.0,60.0%,55.7%,3368,3473
29.L1.3060.FC3638,2302.0,2444.0,5573,1956,3200,3373.0,57.4%,60.5%,3980,3440.0,0.0%,24.1%,4151,4384
29.L1.3060.FC3638D,436.0,941.0,1253,446,750,673.0,59.9%,53.7%,996,877.0,0.0%,3.4%,1062,1080
29.L1.3060.FC3639,2280.0,2962.0,4155,1919,2727,2684.0,65.6%,64.6%,3422,3132.0,21.7%,36.8%,3550,3633
29.L1.3060.FC3640,3023.0,3607.0,4013,3711,3514,3549.0,87.6%,88.4%,3693,3548.0,99.5%,95.6%,3772,3796
29.L1.3060.FC3640D,694.0,519.0,466,427,526,582.0,87.1%,75.2%,528,560.0,76.3%,68.9%,508,506
29.L1.3060.FC3641,6434.0,3369.0,3512,4532,4083,4370.0,83.7%,75.6%,4054,4438.0,89.5%,97.9%,3754,3796
29.L1.3060.FC39002,5856.0,5882.0,8036,8722,5681,5552.0,70.7%,69.1%,6954,6591.0,79.7%,75.6%,7064,7225
29.L1.3060.FC39002D,1014.0,747.0,1059,1245,938,1021.0,88.6%,96.4%,956,940.0,76.8%,75.5%,945,971
29.L1.3060.FC39003,4056.0,4053.0,4939,3932,4042,4034.0,81.8%,81.7%,4497,4349.0,85.6%,89.4%,4541,4607
29.L1.3060.FC39004,10319.0,8295.0,8294,9574,8703,8637.0,95.1%,95.9%,8699,8969.0,90.9%,93.7%,8497,8517
29.L1.3060.FC39004D,1549.0,999.0,1862,1757,1232,1296.0,66.2%,69.6%,1540,1470.0,87.6%,83.7%,1528,1598
29.L1.3060.FC39005,8131.0,3925.0,8950,8863,5467,5795.0,61.1%,64.7%,7279,7002.0,82.1%,79.0%,7110,7529
29.L1.3060.FC39006,2081.0,3054.0,7254,4541,3908,2496.0,53.9%,34.4%,2182,4130.0,48.1%,90.9%,1412,3081
29.L1.3060.FC39006D,669.0,622.0,930,1064,569,526.0,61.2%,56.5%,785,740.0,73.8%,69.6%,796,820
29.L1.3060.FC39007,3376.0,4646.0,4644,5333,3806,3457.0,82.0%,74.4%,4391,4222.0,82.3%,79.2%,4518,4505
29.L1.3060.FC39008,1369.0,1149.0,3337,1645,1222,1234.0,36.6%,37.0%,2287,1952.0,61.0%,81.4%,2374,2540
29.L1.3060.FC39008D,164.0,119.0,625,377,349,220.0,55.8%,35.2%,120,303.0,31.8%,80.3%,78,170
29.L1.3060.FC39009,725.0,927.0,1680,1318,960,1015.0,57.1%,60.4%,1263,1111.0,95.8%,84.3%,1321,1375
29.L1.3060.FC39010,3844.0,6822.0,3826,3794,4930,4165.0,71.1%,91.1%,4728,4831.0,75.4%,72.7%,4876,4622
29.L1.3060.FC39010D,373.0,909.0,494,457,608,496.0,76.9%,99.5%,594,592.0,70.0%,70.5%,627,590
29.L1.3060.FC39011,4406.0,5816.0,4350,3675,4737,4253.0,91.1%,97.8%,4801,4857.0,69.4%,67.8%,4869,4745
29.L1.3060.FC39012,2236.0,1230.0,968,2191,1557,1607.0,39.2%,34.0%,1300,1478.0,59.3%,67.5%,1186,1177
29.L1.3060.FC39012D,119.0,118.0,260,410,238,131.0,91.5%,50.4%,141,166.0,34.4%,40.4%,91,199
29.L1.3060.FC39013,1361.0,655.0,813,1436,875,904.0,92.4%,88.8%,875,943.0,60.9%,65.7%,812,831
29.L1.3060.FP3602,0.0,70.0,0,1025,360,23.0,,,1025,23.0,100.0%,2.3%,666,1128
29.L1.3060.FP3602D,0.0,32.0,0,,71,11.0,,,10,11.0,,,11,8
29.L1.3060.FP3603,56.0,11.0,456,64,34,24.0,7.5%,5.3%,242,174.0,0.0%,0.0%,260,294
29.L1.3060.FP3605,0.0,0.0,4,,0,0.0,0.0%,0.0%,2,1.0,,,2,2
29.L1.3060.FP3605D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FP3607,0.0,0.0,4,,0,0.0,0.0%,0.0%,2,1.0,,,2,2
29.L1.3060.FP3616,36.0,8.0,0,,22,15.0,,,10,15.0,,,7,6
29.L1.3060.FP3616D,12.0,173.0,0,,91,63.0,,,54,62.0,,,62,47
29.L1.3060.FP3617,44.0,134.0,0,,89,59.0,,,49,59.0,,,51,40
29.L1.3060.FP3618,280.0,4.0,0,406,271,256.0,,,57,95.0,14.0%,23.3%,29,32
29.L1.3060.FP3618D,0.0,0.0,0,,0,4.0,,,0,0.0,,,0,0
29.L1.3060.FP3619,88.0,168.0,80,12,243,212.0,0.0%,0.0%,108,112.0,0.0%,0.0%,112,104
29.L1.3060.FP936601,50.0,120.0,0,84,55,57.0,,,46,57.0,54.8%,67.5%,47,37
29.L1.3060.FP936601D,0.0,0.0,0,28,0,0.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.3060.FP936601V,93.0,32.0,28,25,32,42.0,85.7%,51.2%,42,51.0,32.0%,0.0%,36,36
29.L1.3060.FP936602,232.0,0.0,158,519,80,96.0,50.6%,60.8%,125,130.0,24.1%,25.0%,110,124
29.L1.3060.FP936602D,221.0,8.0,0,132,24,82.0,,,47,76.0,35.6%,57.8%,25,27
29.L1.3060.FP936602V,89.0,0.0,18,174,89,41.0,0.0%,0.0%,27,36.0,15.5%,20.5%,19,21
29.L1.3060.FP936604,94.0,0.0,5,,25,31.0,0.0%,0.0%,21,33.0,,,12,13
29.L1.3060.FP936604D,0.0,0.0,13,44,0,20.0,0.0%,48.7%,6,4.0,13.6%,9.8%,7,8
29.L1.3060.FP936605,0.0,25.0,290,,10,11.0,3.4%,3.8%,0,105.0,,,29,102
29.L1.3060.FP936606,0.0,35.0,118,,30,38.0,25.4%,31.9%,70,51.0,,,77,83
29.L1.3060.FP936606D,0.0,0.0,0,,0,5.0,,,0,0.0,,,0,0
29.L1.3060.FP936607,0.0,90.0,69,121,90,111.0,69.6%,39.1%,62,53.0,51.2%,43.8%,70,67
29.L1.3060.FP936608,0.0,0.0,0,48,0,17.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.3060.FP936608D,30.0,0.0,15,138,16,22.0,93.3%,51.1%,14,15.0,10.1%,10.9%,12,13
29.L1.3060.FP936608V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FP936609,292.0,584.0,0,18,330,292.0,,,234,292.0,0.0%,0.0%,234,187
29.L1.3060.FP936609D,88.0,25.0,58,13,30,65.0,51.7%,87.4%,54,57.0,0.0%,0.0%,49,52
29.L1.3060.FP936609V,39.0,128.0,0,129,88,91.0,,,46,56.0,35.7%,43.2%,49,38
29.L1.3060.FP936610,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FP936610D,4.0,20.0,168,158,18,13.0,10.7%,7.9%,158,64.0,100.0%,40.5%,147,153
29.L1.3060.FP936611,132.0,263.0,4,,200,233.0,0.0%,0.0%,0,133.0,,,43,142
29.L1.3060.FP936612,8.0,0.0,0,,2,3.0,,,0,3.0,,,0,0
29.L1.3060.FP936612D,0.0,3.0,0,,132,37.0,,,1,1.0,,,1,1
29.L1.3060.FP936613,0.0,2.0,0,,1,1.0,,,1,1.0,,,1,1
29.L1.3060.FPH3621,0.0,2.0,66,504,42,70.0,63.6%,94.4%,34,23.0,6.7%,4.5%,37,42
29.L1.3060.FPH3621D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FPH3621V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FPH3623,112.0,0.0,0,188,34,37.0,,,0,37.0,0.0%,19.9%,0,0
29.L1.3060.FPH3623D,0.0,0.0,0,62,0,0.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.3060.FPH3623V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FPH3624,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FPH3624D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FPH3624V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FPH3625,0.0,3.0,180,664,8,4.0,4.4%,2.0%,664,61.0,100.0%,9.2%,453,489
29.L1.3060.FPH3625D,0.0,26.0,0,48,26,9.0,,,8,9.0,16.7%,18.1%,9,7
29.L1.3060.FPH3625V,0.0,4.0,930,48,4,2.0,0.4%,0.2%,466,311.0,0.0%,0.0%,513,582
29.L1.3060.FPH3626,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FPH3626V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.3060.FUSC3621,9254.0,7988.0,9823,13921,8437,8526.0,85.9%,86.8%,9159,9022.0,65.8%,64.8%,9124,9274
29.L1.3060.FUSC3621D,1677.0,1167.0,1261,1638,1350,1506.0,92.9%,80.6%,1316,1368.0,80.3%,83.5%,1270,1282
29.L1.3060.FUSC3622,4462.0,4682.0,4245,4746,4200,4828.0,98.9%,86.3%,4420,4463.0,93.1%,94.0%,4420,4385
29.L1.3060.FUSC3625,3383.0,4829.0,5238,5345,4342,4258.0,82.9%,81.3%,4744,4483.0,88.8%,83.9%,4909,4925
29.L1.3060.FUSC3625D,648.0,948.0,1166,1187,812,772.0,69.6%,66.2%,997,921.0,84.0%,77.6%,1038,1051
29.L1.3060.FUSC3626,2981.0,4233.0,4304,4284,3791,3706.0,88.1%,86.1%,4018,3839.0,93.8%,89.6%,4147,4140
29.L1.3060.FUSC3629,3047.0,4111.0,9121,8854,9100,3099.0,99.8%,34.0%,6403,5426.0,72.3%,61.3%,6760,7125
29.L1.3060.FUSC3629D,298.0,521.0,863,1040,435,415.0,50.4%,48.1%,647,561.0,62.2%,53.9%,687,710
29.L1.3060.FUSC3630,2485.0,2247.0,7368,6406,2628,2842.0,35.7%,38.6%,4855,4033.0,75.8%,63.0%,5087,5474
29.L1.3060.FUSC3631,3403.0,3453.0,5442,11334,4409,5054.0,81.0%,92.9%,4438,4099.0,39.2%,36.2%,4542,4691
29.L1.3060.FUSC3631D,560.0,1372.0,1324,2062,1072,1008.0,81.0%,76.1%,1186,1085.0,57.5%,52.6%,1265,1253
29.L1.3060.FUSC3632,2574.0,4471.0,6205,6084,3704,3509.0,59.7%,56.5%,4959,4417.0,81.5%,72.6%,5235,5346
29.L1.3060.FUSC3635,1247.0,272.0,3603,524,920,1190.0,25.5%,33.0%,2132,1707.0,0.0%,0.0%,2201,2461
29.L1.3060.FUSC3635D,270.0,328.0,1097,91,290,274.0,26.4%,25.0%,701,565.0,0.0%,0.0%,745,802
29.L1.3060.FUSC3636,1441.0,1753.0,5416,925,1488,1363.0,27.5%,25.2%,3522,2870.0,0.0%,0.0%,3736,4008
29.L1.3060.FUSC3637,4622.0,8834.0,6316,5387,6300,6373.0,99.7%,99.1%,6733,6591.0,75.0%,77.7%,7028,6797
29.L1.3060.FUSC3637D,613.0,1146.0,785,909,899,963.0,85.5%,77.4%,859,848.0,94.5%,93.3%,894,862
29.L1.3060.FUSC3638,4321.0,5360.0,4082,5221,5110,5298.0,74.8%,70.2%,4513,4588.0,86.4%,87.9%,4553,4447
29.L1.3060.FUSC3639,2486.0,1220.0,1538,2085,1637,1705.0,93.6%,89.2%,1632,1748.0,78.3%,83.8%,1521,1558
29.L1.3060.FUSC3639D,100.0,619.0,225,363,512,463.0,0.0%,0.0%,318,315.0,87.6%,86.7%,350,315
29.L1.3060.FUSC3640,5435.0,4274.0,3536,4234,4648,4703.0,68.6%,67.0%,4137,4415.0,97.7%,95.7%,3984,3940
29.L1.3060.FUSC3641,7235.0,9348.0,8189,12468,8092,7607.0,98.8%,92.9%,8346,8257.0,66.9%,66.2%,8499,8391
29.L1.3060.FUSC3641D,322.0,250.0,434,754,285,296.0,65.7%,68.1%,356,335.0,47.2%,44.5%,358,373
29.L1.3060.FUSC3641V,981.0,1308.0,1164,1767,1101,1018.0,94.6%,87.4%,1171,1151.0,66.3%,65.1%,1196,1182
29.L1.3060.FUSC3642,6558.0,9434.0,12816,5677,8069,7638.0,63.0%,59.6%,10550,9603.0,14.2%,30.8%,11007,11232
29.L1.3060.FUSC3642D,55.0,614.0,273,92,363,289.0,67.0%,94.3%,332,314.0,0.0%,0.0%,371,340
29.L1.3060.FUSC3642V,1118.0,1239.0,2181,1057,1168,1141.0,53.6%,52.3%,1686,1513.0,40.5%,56.9%,1745,1814
29.L1.3060.FUSC3643,10088.0,11439.0,13874,15664,10599,10264.0,76.4%,74.0%,12386,11800.0,79.1%,75.3%,12643,12812
29.L1.3060.FUSC3643D,172.0,325.0,263,399,260,243.0,98.9%,92.3%,263,253.0,65.9%,63.5%,275,269
29.L1.3060.FUSC3643V,1033.0,1045.0,1708,2588,1142,1208.0,66.9%,70.7%,1374,1262.0,53.1%,48.8%,1408,1458
29.L1.3060.FUSC3644,13541.0,9529.0,18078,19985,18100,10438.0,99.9%,57.7%,14606,13716.0,73.1%,68.6%,14632,15313
29.L1.3060.FUSC3644D,650.0,280.0,415,551,385,393.0,92.8%,94.6%,422,448.0,76.6%,81.4%,392,406
29.L1.3060.FUSC3644V,1231.0,1053.0,2080,2841,1118,1132.0,53.8%,54.4%,1602,1455.0,56.4%,51.2%,1636,1715
29.L1.3060.FUSM3645,4873.0,5677.0,10099,12054,5599,5681.0,55.4%,56.3%,7727,6883.0,64.1%,57.1%,8029,8352
29.L1.3060.FUSM3645D,397.0,242.0,494,447,406,489.0,82.2%,98.9%,399,378.0,89.3%,84.5%,396,416
29.L1.3060.FUSM3646,3573.0,3169.0,7960,4910,3856,4247.0,48.4%,53.4%,5645,4901.0,85.0%,99.8%,5844,6208
29.L1.3060.FUSM3647,4376.0,4940.0,6855,4025,4722,4671.0,68.9%,68.1%,5785,5390.0,56.3%,66.1%,5937,6075
29.L1.3060.FUSM3647D,110.0,310.0,481,547,279,292.0,58.0%,60.6%,356,300.0,65.1%,54.9%,384,395
29.L1.3060.FUSM3648,2966.0,3880.0,5431,9022,3814,3922.0,70.2%,72.2%,4473,4092.0,49.6%,45.4%,4642,4749
29.L1.3060.FUSM3649,2515.0,3603.0,2103,4846,3405,3454.0,38.1%,35.7%,2635,2740.0,54.4%,56.5%,2669,2546
29.L1.3060.FUSM3649D,239.0,181.0,127,115,220,237.0,26.8%,13.6%,166,182.0,55.7%,41.4%,157,154
29.L1.3060.FUSM3650,4400.0,5583.0,5182,6137,5017,4837.0,96.8%,93.3%,5146,5055.0,83.9%,82.4%,5244,5202
29.L1.3060.FUSM3651,2292.0,1053.0,1242,2490,1604,1764.0,70.9%,57.9%,1395,1529.0,56.0%,61.4%,1281,1307
29.L1.3060.FUSM3651D,146.0,104.0,171,251,124,130.0,72.5%,76.0%,146,140.0,58.2%,55.9%,145,150
29.L1.3060.FUSM3652,3337.0,2609.0,3084,1965,2785,2781.0,90.3%,90.2%,2992,3010.0,47.7%,46.8%,2943,2986
29.L1.4060.FX46202,1499.0,3140.0,3124,8576,2767,2792.0,88.6%,89.4%,8576,2588.0,100.0%,30.2%,761,6615
29.L1.4060.FX46203,288.0,0.0,0,,86,96.0,,,0,96.0,,,0,0
29.L1.4060.FXK46250,3109.0,4207.0,2469,3548,3100,3562.0,74.4%,55.7%,3118,3262.0,87.9%,91.9%,3141,3000
29.L1.4060.FXK46251,7026.0,10629.0,10801,11088,8717,8043.0,80.7%,74.5%,9994,9485.0,90.1%,85.5%,10363,10340
29.L1.4060.FXK46254,1515.0,3241.0,4272,5818,2363,2066.0,55.3%,48.4%,3411,3009.0,58.6%,51.7%,3635,3695
29.L1.4060.FXK46255,848.0,407.0,846,1327,586,632.0,69.3%,74.7%,715,700.0,53.9%,52.8%,693,730
29.L1.4060.FXK46256,1064.0,2114.0,1424,5252,1700,1678.0,80.6%,82.2%,1559,1534.0,29.7%,29.2%,1630,1568
29.L1.4060.FXK46258,8281.0,6618.0,9582,7270,7044,7051.0,73.5%,73.6%,8433,8160.0,84.0%,87.8%,8415,8654
29.L1.4060.FXU46001,655.0,4462.0,4722,6541,2809,2341.0,59.5%,49.6%,3831,3280.0,58.6%,50.1%,4224,4206
29.L1.4060.FXU46002,2701.0,2967.0,3613,7120,2851,2818.0,78.9%,78.0%,3237,3094.0,45.5%,43.5%,3296,3342
29.L1.4060.FXU46003,1425.0,2338.0,4056,5127,1847,1672.0,45.5%,41.2%,3014,2606.0,58.8%,50.8%,3191,3311
29.L1.4080.FC4801,648.0,92.0,329,554,240,247.0,72.9%,75.0%,322,356.0,58.1%,64.3%,278,301
29.L1.4080.FC4801D,0.0,0.0,0,104,0,0.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.4080.FC4801V,204.0,16.0,0,112,54,73.0,,,46,73.0,41.1%,65.5%,26,27
29.L1.4080.FC4802,1577.0,588.0,1577,744,966,1053.0,61.3%,66.8%,1280,1247.0,28.0%,32.3%,1231,1315
29.L1.4080.FC4802D,65.0,17.0,20,13,21,36.0,95.0%,21.7%,28,34.0,0.0%,0.0%,23,24
29.L1.4080.FC4802V,233.0,34.0,104,181,290,143.0,0.0%,62.8%,109,124.0,60.2%,68.3%,92,100
29.L1.4080.FC4803,0.0,0.0,106,,0,0.0,0.0%,0.0%,53,35.0,,,58,66
29.L1.4080.FC4803D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.4080.FC4803V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.4080.FC4804,4344.0,2062.0,3017,1723,2487,2389.0,82.4%,79.2%,2996,3141.0,26.1%,17.7%,2816,2910
29.L1.4080.FC4804D,0.0,48.0,135,,158,16.0,83.0%,11.9%,82,61.0,,,91,97
29.L1.4080.FC4804V,549.0,378.0,251,214,464,357.0,15.1%,57.6%,349,393.0,36.9%,16.5%,325,317
29.L1.4080.FC4805,990.0,6.0,1633,482,1244,831.0,76.2%,50.9%,1016,876.0,0.0%,18.2%,999,1131
29.L1.4080.FC4805D,0.0,0.0,12,,0,10.0,0.0%,86.1%,6,4.0,,,7,8
29.L1.4080.FC4805V,0.0,0.0,145,60,0,0.0,0.0%,0.0%,72,48.0,80.0%,80.6%,80,91
29.L1.4080.FC4806,4113.0,721.0,2574,422,2259,1951.0,87.8%,75.8%,422,2469.0,100.0%,0.0%,274,422
29.L1.4080.FC4806D,101.0,12.0,20,70,105,45.0,0.0%,0.0%,34,44.0,48.6%,63.3%,25,27
29.L1.4080.FC4806V,333.0,129.0,481,162,256,188.0,53.2%,39.0%,346,314.0,0.0%,6.0%,343,372
29.L1.4080.FC4808,879.0,1817.0,6074,2841,1864,2548.0,30.7%,42.0%,3758,2923.0,67.7%,97.1%,4065,4375
29.L1.4080.FC4808D,132.0,19.0,208,23,61,58.0,29.3%,27.7%,136,120.0,0.0%,0.0%,134,149
29.L1.4080.FC4808V,212.0,139.0,698,368,247,282.0,35.4%,40.4%,433,350.0,82.3%,95.0%,454,496
29.L1.4080.FC4809,1513.0,2437.0,1645,2158,1839,1594.0,88.2%,96.9%,1856,1865.0,86.0%,86.4%,1909,1840
29.L1.4080.FC4809D,0.0,0.0,0,19,0,28.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.4080.FC4809V,0.0,148.0,24,163,148,84.0,0.0%,0.0%,56,57.0,34.4%,35.2%,65,54
29.L1.4080.FP948601,0.0,0.0,0,,0,60.0,,,0,0.0,,,0,0
29.L1.4080.FP948601D,22.0,30.0,2,,22,17.0,0.0%,0.0%,14,18.0,,,14,12
29.L1.4080.FP948601V,12.0,7.0,0,,51,23.0,,,4,6.0,,,3,3
29.L1.4080.FP948602,57.0,0.0,0,,80,107.0,,,0,19.0,,,0,0
29.L1.4080.FP948602D,37.0,9.0,120,,37,28.0,30.8%,23.1%,70,55.0,,,73,82
29.L1.4080.FP948602V,0.0,0.0,0,,0,2.0,,,0,0.0,,,0,0
29.L1.4080.FP948603,0.0,4.0,61,,97,160.0,41.0%,0.0%,32,22.0,,,35,39
29.L1.4080.FP948603D,0.0,1.0,0,,30,0.0,,,0,0.0,,,0,0
29.L1.4080.FP948603V,0.0,1.0,0,,76,1.0,,,0,0.0,,,0,0
29.L1.4080.FP948604,15.0,0.0,22,,0,81.0,0.0%,0.0%,14,12.0,,,14,16
29.L1.4080.FP948604D,10.0,0.0,15,7,10,15.0,66.7%,100.0%,10,8.0,57.1%,81.0%,10,11
29.L1.4080.FP948604V,5.0,1.0,0,,0,2.0,,,1,2.0,,,1,1
29.L1.5050.FC5001,2137.0,834.0,264,1622,2800,1571.0,0.0%,0.0%,810,1078.0,49.9%,66.5%,651,621
29.L1.5050.FC5006,2159.0,325.0,655,1998,1019,1177.0,44.4%,20.4%,857,1046.0,42.9%,52.4%,690,733
29.L1.5050.FCU5507,686.0,1330.0,2148,4358,1400,1453.0,65.2%,67.6%,1610,1388.0,36.9%,31.8%,1715,1770
29.L1.5050.FCU5521,2775.0,3413.0,4808,6144,3687,3975.0,76.7%,82.7%,3983,3665.0,64.8%,59.7%,4116,4214
29.L1.5050.FCU5524,7174.0,5775.0,8715,8955,5897,5745.0,67.7%,65.9%,7525,7221.0,84.0%,80.6%,7532,7766
29.L1.6060.FP6602,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FP6603,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FP6604,0.0,0.0,55,,0,11.0,0.0%,19.4%,28,18.0,,,30,34
29.L1.6060.FP6605,49.0,0.0,0,,49,16.0,,,0,16.0,,,0,0
29.L1.6060.FP96600,330.0,19.0,5,30,100,126.0,0.0%,0.0%,74,118.0,0.0%,0.0%,42,44
29.L1.6060.FP96601,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FP96604,16.0,0.0,0,,176,5.0,,,0,5.0,,,0,0
29.L1.6060.FP96606,4.0,6.0,0,,12,9.0,,,3,3.0,,,3,2
29.L1.6060.FP96608,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FP966602,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FP966605,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FP96666,0.0,8.0,2,,20,23.0,0.0%,0.0%,3,3.0,,,4,3
29.L1.6060.FPH6001,35.0,61.0,0,,38,35.0,,,25,32.0,,,25,20
29.L1.6060.FPH966001,0.0,123.0,0,,40,41.0,,,37,41.0,,,43,33
